Error: missing newline in C:\Users\Nikitka\Documents\VuGen\Scripts\WS_UC3_DeleteCart\..\DataSet\Accounts.dat	[MsgId: MERR-13874]
Start auto log messages stack - Iteration 1.	[MsgId: MMSG-10545]
Action.c(172): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(177): web_reg_save_param started  	[MsgId: MMSG-26355]
Action.c(177): Registering web_reg_save_param was successful  	[MsgId: MMSG-26390]
Action.c(184): web_add_header("Authorization") started  	[MsgId: MMSG-26355]
Action.c(184): Warning -26594: The header being added may cause unpredictable results if applied to ALL the URLs generated on behalf of the next script function. It will apply to the primary URL only.  	[MsgId: MWAR-26594]
Action.c(184): web_add_header("Authorization") highest severity level was "warning"  	[MsgId: MMSG-26391]
Action.c(186): web_url("{UserID}_3") started  	[MsgId: MMSG-26355]
Action.c(186): Error -26377: No match found for the requested parameter "productID". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 111 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
Action.c(186): Error -26377: No match found for the requested parameter "quantity". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 111 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
Action.c(186): Error -26377: No match found for the requested parameter "color". Either the specified boundaries were not found in the response or the matched text is longer than current max html parameter size of 256 bytes. The total length of the response is 111 bytes. You can use "web_set_max_html_param_len" to increase the max parameter size.  	[MsgId: MERR-26377]
End auto log messages stack.	[MsgId: MMSG-10544]


Start auto log messages stack - Iteration 5.	[MsgId: MMSG-10545]
Action.c(35): Warning -27760: Request "https://www.advantageonlineshopping.com/catalog/fetchImage?image_id=tablets" failed  	[MsgId: MWAR-27760]
Action.c(35): Warning -27760: Request "https://www.advantageonlineshopping.com/css/images/Special-offer.jpg" failed  	[MsgId: MWAR-27760]
